"id","category"
9220,"Card Game"
9220,"Exploration"
9220,"Fantasy"
9220,"Party Game"
18602,"City Building"
18602,"Economic"
18602,"Medieval"
136063,"Adventure"
136063,"Fantasy"
136063,"Science Fiction"
148949,"Economic"
72125,"Civilization"
72125,"Fighting"
72125,"Science Fiction"
72125,"Space Exploration"
72125,"Wargame"
158899,"American West"
158899,"Fighting"
158899,"Trains"
10630,"Miniatures"
10630,"Wargame"
10630,"World War II"
42,"Ancient"
42,"Civilization"
42,"Territory Building"
15062,"Adventure"
15062,"Bluffing"
15062,"Deduction"
15062,"Fantasy"
15062,"Medieval"
15062,"Mythology"
192291,"Card Game"
192291,"Party Game"
172,"Card Game"
172,"Economic"
182028,"Card Game"
182028,"Civilization"
182028,"Economic"
187645,"Civil War"
187645,"Fighting"
187645,"Miniatures"
187645,"Movies / TV / Radio theme"
187645,"Science Fiction"
187645,"Wargame"
224517,"Economic"
224517,"Industry / Manufacturing"
224517,"Post-Napoleonic"
224517,"Transportation"
146508,"Adventure"
146508,"Mature / Adult"
146508,"Puzzle"
146508,"Science Fiction"
284083,"Card Game"
284083,"Science Fiction"
284083,"Space Exploration"
172225,"Animals"
172225,"Card Game"
172225,"Comic Book / Strip"
172225,"Humor"
122522,"Card Game"
122522,"Fantasy"
122522,"Humor"
122522,"Pirates"
122522,"Science Fiction"
122522,"Zombies"
16992,"Abstract Strategy"
16992,"Fantasy"
50381,"Card Game"
50381,"Humor"
50381,"Mature / Adult"
50381,"Party Game"
50381,"Print & Play"
164928,"Medieval"
164928,"Religious"
164928,"Travel"
93,"Medieval"
93,"Renaissance"
2453,"Abstract Strategy"
2453,"Territory Building"
153938,"Animals"
153938,"Dice"
153938,"Racing"
103885,"Aviation / Flight"
103885,"Bluffing"
103885,"Collectible Components"
103885,"Miniatures"
103885,"Movies / TV / Radio theme"
103885,"Science Fiction"
103885,"Wargame"
104162,"Adventure"
104162,"Exploration"
104162,"Fantasy"
104162,"Fighting"
104162,"Miniatures"
147949,"Bluffing"
147949,"Card Game"
147949,"Deduction"
147949,"Horror"
147949,"Party Game"
2223,"Number"
2223,"Card Game"
2223,"Comic Book / Strip"
2223,"Movies / TV / Radio theme"
155426,"City Building"
155426,"Medieval"
155426,"Post-Napoleonic"
155426,"Puzzle"
100423,"Adventure"
100423,"Card Game"
100423,"Dice"
100423,"Fantasy"
100423,"Fighting"
100423,"Horror"
100423,"Novel-based"
432,"Card Game"
432,"Number"
18,"Maze"
18,"Miniatures"
18,"Racing"
18,"Science Fiction"
8217,"Card Game"
8217,"City Building"
8217,"Economic"
244992,"Card Game"
244992,"Number"
123260,"City Building"
123260,"Economic"
154203,"Ancient"
154203,"Card Game"
154203,"City Building"
154203,"Civilization"
123540,"Travel"
2653,"Adventure"
2653,"Animals"
2653,"Bluffing"
2653,"Nautical"
108745,"Card Game"
108745,"Fantasy"
176494,"Economic"
176494,"Territory Building"
100901,"Adventure"
12942,"Card Game"
77423,"Adventure"
77423,"Card Game"
77423,"Collectible Components"
77423,"Fantasy"
77423,"Novel-based"
171623,"Dice"
171623,"Economic"
171623,"Medieval"
171623,"Travel"
164153,"Adventure"
164153,"Exploration"
164153,"Fighting"
164153,"Miniatures"
164153,"Movies / TV / Radio theme"
164153,"Science Fiction"
164153,"Wargame"
233867,"City Building"
104006,"Farming"
104006,"Medieval"
143741,"American West"
143741,"Bluffing"
143741,"Deduction"
143741,"Dice"
143741,"Fighting"
143741,"Party Game"
28720,"Economic"
28720,"Industry / Manufacturing"
28720,"Post-Napoleonic"
28720,"Transportation"
107529,"Medieval"
107529,"Territory Building"
188834,"Bluffing"
188834,"Card Game"
188834,"Deduction"
188834,"Humor"
188834,"Party Game"
188834,"Political"
188834,"Print & Play"
129437,"Card Game"
129437,"Comic Book / Strip"
236457,"City Building"
236457,"Medieval"
209685,"Card Game"
209685,"Economic"
209685,"Medieval"
73439,"Dice"
73439,"Economic"
73439,"Medieval"
122515,"City Building"
122515,"Economic"
122515,"Renaissance"
122515,"Territory Building"
122515,"Transportation"
177736,"Economic"
177736,"Industry / Manufacturing"
177736,"Medieval"
177736,"Puzzle"
8203,"Abstract Strategy"
8203,"Animals"
37046,"Fantasy"
37046,"Fighting"
37046,"Horror"
37046,"Mythology"
116,"Card Game"
116,"Humor"
12,"Ancient"
12,"Mythology"
161970,"Deduction"
161970,"Fantasy"
166384,"Bluffing"
166384,"Deduction"
166384,"Humor"
166384,"Party Game"
166384,"Spies/Secret Agents"
220308,"Economic"
220308,"Science Fiction"
220308,"Space Exploration"
220308,"Territory Building"
218603,"Abstract Strategy"
218603,"Environmental"
54998,"Ancient"
54998,"City Building"
54998,"Civilization"
54998,"Fighting"
54998,"Miniatures"
54998,"Mythology"
54998,"Nautical"
5782,"Animals"
5782,"Card Game"
180263,"Adventure"
180263,"Card Game"
180263,"Exploration"
180263,"Science Fiction"
62219,"Animals"
62219,"Environmental"
62219,"Prehistoric"
27162,"City Building"
27162,"Dice"
27162,"Fantasy"
27162,"Medieval"
5,"Economic"
5,"Territory Building"
21790,"Post-Napoleonic"
21790,"Transportation"
12493,"Civilization"
12493,"Negotiation"
12493,"Political"
12493,"Science Fiction"
12493,"Space Exploration"
12493,"Wargame"
198773,"Card Game"
198773,"Deduction"
198773,"Party Game"
198773,"Spies/Secret Agents"
2511,"Deduction"
2511,"Murder/Mystery"
2511,"Novel-based"
2511,"Post-Napoleonic"
2511,"Spies/Secret Agents"
54,"Exploration"
54,"Territory Building"
1294,"Bluffing"
1294,"Deduction"
1294,"Movies / TV / Radio theme"
1294,"Murder/Mystery"
25613,"Civilization"
25613,"Economic"
170042,"Medieval"
170042,"Nautical"
15512,"Adventure"
15512,"Bluffing"
15512,"Exploration"
118,"Card Game"
118,"Economic"
74,"Card Game"
74,"Humor"
74,"Party Game"
92828,"Card Game"
92828,"Humor"
92828,"Party Game"
43570,"Adventure"
43570,"Card Game"
43570,"Fighting"
43570,"Novel-based"
43570,"Pirates"
156129,"Bluffing"
156129,"Deduction"
156129,"Murder/Mystery"
156129,"Party Game"
37904,"Racing"
37904,"Sports"
167355,"Adventure"
167355,"Horror"
167355,"Miniatures"
167355,"Science Fiction"
124708,"Adventure"
124708,"Animals"
124708,"Exploration"
124708,"Fantasy"
124708,"Fighting"
124708,"Miniatures"
205896,"Bluffing"
205896,"Fantasy"
205896,"Miniatures"
205896,"Mythology"
205896,"Negotiation"
205896,"Wargame"
171131,"Deduction"
171131,"Fighting"
171131,"Nautical"
171131,"Real-time"
244522,"Dice"
113924,"Horror"
113924,"Miniatures"
113924,"Zombies"
209778,"Exploration"
209778,"Fantasy"
209778,"Maze"
209778,"Real-time"
160477,"Abstract Strategy"
