"id","designer"
2511,"Raymond Edwards"
2511,"Suzanne Goldberg"
2511,"Gary Grady"
54,"Michael Kiesling"
54,"Wolfgang Kramer"
1294,"Anthony E. Pratt"
25613,"Vlaada Chvátil"
170042,"Shem Phillips"
15512,"Bruno Faidutti"
15512,"Alan R. Moon"
118,"Reiner Knizia"
74,"Matthew Kirby"
74,"Mark Alan Osterhaus"
92828,"Jean-Louis Roubira"
43570,"Friedemann Friese"
156129,"Tobey Ho"
37904,"Laurent Lavaur"
37904,"Eric Randall"
167355,"Adam Kwapiński"
124708,"Jerry Hawthorne"
205896,"Eric M. Lang"
171131,"Roberto Fraga"
171131,"Yohan Lemonnier"
244522,"Wolfgang Warsch"
113924,"Raphaël Guiton"
113924,"Jean-Baptiste Lullien"
113924,"Nicolas Raoult"
209778,"Kasper Lapp"
160477,"Shimpei Sato"
25669,"Susan McKinley Ross"
127023,"Jacques Bariot"
127023,"Guillaume Montiage"
28023,"Malcolm Braff"
28023,"Bruno Cathala"
28023,"Sébastien Pauchon"
163967,"Scott Almes"
239188,"David Cicurel"
118048,"Andreas Steiger"
194594,"Régis Bonnessée"
312484,"Elwen"
312484,"Mín"
62871,"Steve Jackson (I)"
24480,"Michael Rieneck"
24480,"Stefan Stadler"
147151,"Gaëtan Beaujannot"
147151,"Alain Rivollet"
216132,"Juma Al-JouJou"
263918,"Jordy Adan"
224037,"Vlaada Chvátil"
224037,"Scot Eaton"
92415,"Hervé Marly"
258,"Andrew Looney"
258,"Kristin Looney"
127398,"Michael Menzel"
760,"Reiner Knizia"
21763,"Bruno Cathala"
21763,"Ludovic Maublanc"
9674,"Reiner Knizia"
233078,"Dane Beltrami"
233078,"Corey Konieczka"
233078,"Christian T. Petersen"
113294,"Kristian Amundsen Østby"
291457,"Isaac Childres"
34219,"Steve Finn"
144733,"Helmut Ohley"
144733,"Leonhard Lonny Orgler"
63888,"Carl Chudyk"
254640,"Ludovic Roudy"
254640,"Bruno Sautter"
169426,"Keith Matejka"
102680,"Stefan Feld"
188,"(Uncredited)"
115746,"Roberto Di Meglio"
115746,"Marco Maggi"
115746,"Francesco Nepitello"
217372,"Reiner Knizia"
175914,"Jeroen Doumen"
175914,"Joris Wiersinga"
180974,"Stefano Castelli"
180974,"Andrea Crespi"
180974,"Lorenzo Silva"
3,"Reiner Knizia"
102652,"Christopher Badell"
102652,"Paul Bender"
102652,"Adam Rebottaro"
229853,"Daniele Tascini"
38453,"Vlaada Chvátil"
209010,"Chris Cantrell"
209010,"Rick Ernst"
209010,"Stone Librande"
209010,"Prashant Saraswat"
209010,"Nathan Tiras"
140934,"Dan Cassar"
438,"Manfred Burggraf"
438,"Dorothy Garrels"
438,"Wolf Hoermann"
438,"Fritz Ifland"
438,"Werner Scheerer"
438,"Werner Schlegel"
9217,"Bernd Brunnhofer"
160499,"Richard Garfield"
316554,"Paul Dennen"
77130,"Kevin Wilson"
43443,"Justin De Witt"
555,"Wolfgang Kramer"
555,"Richard Ulrich"
555,"Jens Christopher Ulrich"
823,"Reiner Knizia"
2471,"Todd Breitenstein"
2471,"Kerry Breitenstein"
182874,"Virginio Gigli"
182874,"Simone Luciani"
131835,"Johnny ONeal"
131835,"Chris ONeal"
131835,"Christopher ONeal"
43111,"Eric M. Lang"
172287,"Ole Steiness"
155821,"Christian Martinez"
155703,"Dominic Crapuchettes"
155703,"Dmitry Knorre"
155703,"Sergey Machin"
41,"Sid Sackson"
48726,"Tory Niemann"
225694,"Thomas Dagenais-Lespérance"
1917,"Jacques Johan Mogendorff"
811,"Ephraim Hertzano"
59959,"Gabriele Mari"
59959,"Gianluca Santopietro"
63268,"Denis Blanchot"
63268,"Jacques Cottereau"
63268,"Guillaume Gille-Naves"
63268,"Igor Polouchine"
156009,"Alexander Pfister"
27588,"Michael Schacht"
286096,"Jamey Stegmaier"
12692,"Keith Baker"
46213,"(Uncredited)"
199042,"Forrest-Pruzan Creative"
199042,"Kami Mandell"
199042,"Andrew Wolf"
285774,"Michael Boggs"
285774,"Nate French"
285774,"Caleb Grace"
262712,"Thomas Lehmann"
219513,"Phil Walker-Harding"
172818,"Ryan Laukat"
198994,"Robert Dougherty"
198994,"Darwin Kastle"
20100,"Dominic Crapuchettes"
140620,"Cédrick Chaboussit"
27627,"John Goodenough"
27627,"Robert Harris"
215,"Urs Hostettler"
199478,"Asger Harding Granerud"
191189,"Kevin Riley"
21241,"Michał Oracz"
29368,"Jason C. Hill"
176189,"Raphaël Guiton"
176189,"Jean-Baptiste Lullien"
176189,"Nicolas Raoult"
161417,"Carl Chudyk"
161417,"Chris Cieslik"
221107,"Rob Daviau"
221107,"Matt Leacock"
97207,"Vlaada Chvátil"
521,"(Uncredited)"
155362,"Ludovic Maublanc"
91536,"Mike Elliott"
91536,"Eric M. Lang"
278,"Klaus Teuber"
185343,"Dávid Turczi"
185343,"Richard Amann"
185343,"Viktor Peter"
19857,"Ed Carter"
19857,"Carl Chudyk"
45,"Richard Borg"
45315,"Vlaada Chvátil"
25292,"Kasper Aagaard"
25292,"Christian Marcussen"
20551,"Dirk Henn"
265736,"Peter McPherson"
221194,"Jonathan Gilmour"
221194,"Brian Lewis"
503,"Reiner Knizia"
191862,"Phil Walker-Harding"
83330,"Corey Konieczka"
171668,"Fabien Riffaud"
171668,"Juan Rodriguez"
256382,"Prospero Hall"
158600,"Kota Nakayama (中山 宏太)"
125618,"Paolo Mori"
247763,"Vladimír Suchý"
197376,"Jamey Stegmaier"
119890,"Uwe Rosenberg"
2243,"Edwin S. Lowe"
43015,"Andreas Steding"
2452,"Leslie Scott"
266524,"Henry Audubon"
71721,"Corey Konieczka"
25554,"Stefan Feld"
181279,"Frank Brooks"
181279,"Stephen Hand"
181279,"Kevin Wilson"
150312,"Hisanori Hiraoka"
150312,"Masato Uesugi"
483,"Allan B. Calhamer"
31627,"Alan R. Moon"
2397,"(Uncredited)"
69789,"John Fiorillo"
69789,"Justin Gary"
69789,"Brian M. Kibler"
66188,"Wolfgang Panning"
66188,"Marco Ruskowski"
66188,"Marcel Süßelbeck"
133038,"Mike Selinker"
133038,"Chad Brown"
133038,"Tanis OConnor"
133038,"Paul Peterson"
133038,"Gaby Weidling"
169654,"Jun Sasaki"
169654,"Goro Sasaki"
34119,"Anthony J. Gallela"
34119,"Eric Goldberg"
34119,"Kevin Maroney"
34119,"Zev Shlasinger"
146652,"Ben Cichoski"
146652,"Daniel Mandel"
8098,"Thomas Vuarchex"
8098,"Pierrick Yakovenko"
4390,"Klaus-Jürgen Wrede"
4390,"Bernd Brunnhofer"
176396,"François Gandon"
37380,"Matt Leacock"
200680,"Uwe Rosenberg"
172386,"Alexander Pfister"
274960,"Molly Johnson"
274960,"Robert Melvin"
274960,"Shawn Stankewich"
155987,"Bruno Cathala"
155987,"Charles Chevallier"
699,"Stephen Baker"
126042,"Rustan Håkansson"
126042,"Nina Håkansson"
126042,"Einar Rosén"
126042,"Robert Rosén"
17226,"Kevin Wilson"
1198,"Marsha J. Falco"
17133,"Glenn Drover"
17133,"Martin Wallace"
1219,"Max J. Kobbert"
2921,"Reuben Klamer"
2921,"Bill Markham"
269385,"Nathan I. Hajek"
269385,"Grace Holdinghaus"
31594,"Stefan Feld"
128621,"Jamey Stegmaier"
128621,"Alan Stone"
242302,"John D. Clair"
266810,"Shem Phillips"
266810,"S J Macdonald"
42215,"Bruce Allen"
1111,"Brian Hersch"
281259,"Frank West"
125153,"Vital Lacerda"
9216,"Rüdiger Dorn"
138161,"Aaron Dill"
138161,"John Kovaleski"
138161,"Sean Sweigart"
221965,"Joshua Buergel"
206718,"Paolo Mori"
233371,"Paul Dennen"
203993,"Flaminia Brasini"
203993,"Virginio Gigli"
203993,"Simone Luciani"
136888,"Stefan Feld"
276025,"Alexander Pfister"
90137,"Jason Little"
131260,"Steffen Benndorf"
93260,"Colby Dauch"
98,"Larry Harris Jr."
183840,"Alexander Pfister"
220877,"Inka Brand"
220877,"Markus Brand"
25821,"Philippe des Pallières"
